,Bat1,Bat2,Bat3,Bat4,Bat5,Bat6,Bat7,Bat8,Bat9,Bat10
2017-04-01 00:00:00,387.0,542.0,484.0,443.0,367.0,681.0,632.0,508.0,277.0,468.0
2017-04-01 00:10:00,384.0,544.0,518.0,459.0,362.0,717.0,652.0,518.0,330.0,481.0
2017-04-01 00:20:00,373.0,540.0,532.0,467.0,361.0,732.0,639.0,504.0,334.0,472.0
2017-04-01 00:30:00,347.0,542.0,521.0,448.0,358.0,723.0,619.0,427.0,329.0,451.0
2017-04-01 00:40:00,342.0,549.0,504.0,455.0,372.0,661.0,639.0,408.0,326.0,406.0
2017-04-01 00:50:00,350.0,563.0,535.0,452.0,392.0,685.0,630.0,405.0,317.0,414.0
2017-04-01 01:00:00,353.0,547.0,536.0,454.0,397.0,717.0,672.0,409.0,313.0,389.0
2017-04-01 01:10:00,337.0,551.0,513.0,428.0,365.0,731.0,672.0,407.0,294.0,417.0
2017-04-01 01:20:00,341.0,550.0,476.0,433.0,387.0,642.0,671.0,403.0,293.0,400.0
2017-04-01 01:30:00,349.0,566.0,551.0,426.0,378.0,699.0,663.0,405.0,299.0,393.0
2017-04-01 01:40:00,355.0,582.0,564.0,434.0,362.0,657.0,655.0,412.0,327.0,380.0
2017-04-01 01:50:00,467.0,644.0,666.0,437.0,359.0,681.0,661.0,405.0,329.0,410.0
2017-04-01 02:00:00,620.0,643.0,616.0,418.0,567.0,982.0,691.0,427.0,325.0,399.0
2017-04-01 02:10:00,504.0,696.0,567.0,414.0,550.0,863.0,676.0,417.0,320.0,410.0
2017-04-01 02:20:00,471.0,730.0,542.0,412.0,538.0,896.0,679.0,411.0,298.0,452.0
2017-04-01 02:30:00,511.0,714.0,569.0,424.0,565.0,915.0,678.0,398.0,339.0,453.0
2017-04-01 02:40:00,470.0,722.0,625.0,422.0,567.0,901.0,682.0,415.0,339.0,447.0
2017-04-01 02:50:00,452.0,702.0,602.0,409.0,607.0,866.0,671.0,404.0,364.0,495.0
2017-04-01 03:00:00,468.0,821.0,611.0,442.0,610.0,951.0,669.0,444.0,358.0,584.0
2017-04-01 03:10:00,498.0,953.0,599.0,455.0,577.0,942.0,704.0,589.0,368.0,525.0
2017-04-01 03:20:00,494.0,906.0,562.0,464.0,611.0,942.0,774.0,617.0,410.0,546.0
2017-04-01 03:30:00,433.0,943.0,567.0,433.0,515.0,936.0,758.0,643.0,531.0,515.0
2017-04-01 03:40:00,472.0,995.0,651.0,431.0,510.0,903.0,738.0,590.0,452.0,514.0
2017-04-01 03:50:00,492.0,950.0,687.0,445.0,581.0,925.0,742.0,562.0,454.0,495.0
2017-04-01 04:00:00,505.0,942.0,613.0,459.0,613.0,959.0,751.0,572.0,456.0,539.0
2017-04-01 04:10:00,540.0,870.0,521.0,468.0,607.0,1009.0,917.0,567.0,445.0,580.0
2017-04-01 04:20:00,614.0,899.0,586.0,468.0,607.0,984.0,887.0,560.0,527.0,609.0
2017-04-01 04:30:00,630.0,881.0,607.0,466.0,598.0,981.0,797.0,578.0,538.0,674.0
2017-04-01 04:40:00,586.0,893.0,667.0,462.0,606.0,963.0,820.0,554.0,552.0,649.0
2017-04-01 04:50:00,620.0,928.0,665.0,476.0,622.0,988.0,803.0,589.0,531.0,682.0
2017-04-01 05:00:00,543.0,965.0,700.0,485.0,682.0,994.0,799.0,671.0,524.0,678.0
2017-04-01 05:10:00,584.0,945.0,781.0,479.0,813.0,968.0,780.0,641.0,531.0,588.0
2017-04-01 05:20:00,567.0,872.0,732.0,458.0,790.0,969.0,788.0,641.0,529.0,580.0
2017-04-01 05:30:00,598.0,868.0,720.0,462.0,798.0,964.0,837.0,612.0,550.0,608.0
2017-04-01 05:40:00,609.0,950.0,706.0,464.0,752.0,1000.0,808.0,578.0,510.0,592.0
2017-04-01 05:50:00,651.0,882.0,686.0,494.0,729.0,1028.0,783.0,594.0,518.0,660.0
2017-04-01 06:00:00,609.0,967.0,682.0,434.0,802.0,1006.0,788.0,675.0,523.0,658.0
2017-04-01 06:10:00,635.0,970.0,677.0,389.0,864.0,1046.0,830.0,718.0,688.0,674.0
2017-04-01 06:20:00,649.0,936.0,784.0,401.0,875.0,1048.0,833.0,693.0,719.0,663.0
2017-04-01 06:30:00,713.0,869.0,737.0,380.0,976.0,985.0,966.0,682.0,696.0,720.0
2017-04-01 06:40:00,661.0,834.0,730.0,395.0,947.0,954.0,910.0,734.0,726.0,727.0
2017-04-01 06:50:00,698.0,843.0,628.0,388.0,931.0,998.0,927.0,699.0,750.0,704.0
